comment_id,event_id,text,llm_emotion,is_trash,verified_label,notes
cmt_showbiz_033_1941_r07,showbiz_033,Tuấn Con vậy à kk sin lỗi,,True,,
cmt_showbiz019_0025_r11,showbiz_019,Nguyễn Sin chú em vui tính quá đi,,True,,
cmt_showbiz019_0186_r08,showbiz_019,Pham Ha moá cái cf này uống thử 1 ngụm t ám ảnh tới h luôn 😳,Trung lập,False,,
cmt_showbiz004_0011_r05,showbiz_004,"Phòng, chống ma túy - Công an TP. Hồ Chí Minh thôi cán bộ để chỉ xây xong cái rì sọt ở Nha Trang đã cán bộ, nghe nói cái rì sọt chỉ xây xong là nhà em vô rì sọt á cán bộ 🥹",,True,,
cmt_showbiz_020_0860,showbiz_020,Ra là ông này đăng ảnh AI sai sự thật :))),Trung lập,False,,
cmt_showbiz_044_1808,showbiz_034,Gió đông có rồi dùng hỏa công đốt cháy Shark thôi. Viết tiếp câu chuyện Hoà Bình,Trung lập,False,,
cmt_showbiz_018_0019,showbiz_018,Truyền thông bẩn ít thôi nha,Phẫn nộ,False,,
cmt_showbiz_012_0095,showbiz_012,Tiền tài tù tội hối k kịp góp gạo thổi cơm chung với ngân 98 .?,Cà khịa,False,,
cmt_showbiz_044_0058,showbiz_034,"Ngộ thật, tiền của thiên hạ mà mình cứ muốn gạt lấy rồi xài đc bao nhiêu mà lấy nhiều thế, lấy cho nhiều xong cứ để vô tủ, mua nhà nhiều cứ để đó có ở ko? Ở tù thì mua nhà nhiều làm gì, tiền nhiều thì ăn gì?",Phẫn nộ,False,,
cmt_showbiz004_0013_r01,showbiz_004,Mei Mei hại cl gì chổ nào bán detox ko có hại thì giới thiệu hộ,Cà khịa,False,,
cmt_showbiz_033_1940_r218,showbiz_033,Tuyền Văn Hóa Hồng Sến mẹ này,,True,,
cmt_showbiz015_0001_r10,showbiz_015,Bao Tran thuốc lá nó thuế đầy đủ cấm cái gì . mấy đồ lậu chả cấm,Trung lập,False,,
cmt_showbiz021_0034_r03,showbiz_021,Phan Nhat Khang :)) khiêm tốn tý đi đka :)),,True,,
cmt_showbiz_044_1448,showbiz_034,Gọi là cầm Cu cho thằng khác đái thì đúng hơn ... Chúng nó cũng 1 phường Tà lưa cả thôi mà ...?!,Trung lập,False,,
