comment_id,event_id,text,llm_stance,is_trash,verified_label,notes
cmt_education011_0006_r01,education_011,"Nguyễn Dung Tiền bạc thay vì là phương tiện phục vụ cuộc sống đã trở thành mục tiêu tối thượng của không ít người.
Họ sẵn sàng đánh đổi mọi thứ, kể cả thân xác hay danh dự gia đình, chỉ để “leo lên” hoặc “được che chở”.
Đây không chỉ là sự đổ vỡ đạo đức cá nhân, mà còn là bi kịch xã hội, nơi mà sự trong sạch và lòng tự trọng trở thành xa xỉ phẩm.",tiêu cực,False,,
cmt_education_007_0358,education_007,Bài viết rất hay,rác,True,,
cmt_education007_0006_r02,education_007,Hoàng Dũng lên ti vi mà nhận,trung lập,False,,
cmt_education_011_0156,education_011,Thách bắt hết đc sâu công chức,tiêu cực,False,,
cmt_education_040_0043,education_040,thấy học tin là đúng,tích cực,False,,
cmt_education007_0071_r01,education_007,"Tùng Ân Khương bsnt thì có thể. ck1,2 thì không. Trình độ tiến sỹ k đơn giản để đạt dc.",ý kiến riêng,False,,
cmt_education_037_0003_r06,education_037,Phong Ba mọi năm DGNL lấy tận 70% quá vô lý,tiêu cực,False,,
cmt_education_007_0233,education_007,"Còn nhớ những kỹ sư điện, cơ khí ngày xưa học bên Liên Xô tới 6 năm, trình độ họ ngang với thạc sĩ ngày nay, thậm chí có những người giỏi ngang tiến sĩ nhưng họ vẫn là kỹ sư. Không thể lấy thời gian học ra để tính học vị được. Chỉ cần đãi ngộ xứng đáng cho những người giỏi nghề, học vị không quan trọng mấy đâu. Trường hợp cần thì nên bổ sung một số học phần, chuyên đề để họ đủ chuẩn thành ThS, TS",trung lập,False,,
cmt_education017_0042_r06,education_017,"Lynx Đặng muốn thì nghiên cứu chỉnh chu thôi, thi TOEIC cũng thi trên máy, nộp là có điểm liền",tích cực,False,,
cmt_education_017_0042,education_017,"Xin luôn á, tiếp tục làm trên giấy đi ạ",tiêu cực,False,,
